"Raw Data File","tracer molecule","labelled positions","Abundance [%]",Injection,Replicate,"Incubation time [hours]","Metabolite name","CHEBI identifier","atomic positions of fragment","Empirical formula derivatized molecule/fragment","m/z monitored","signal intensity","isotopologue symbol","peaks abundances [%]"
GlycHyp1_03.CDF,Glucose,"1,1,0,0,0,0",48,3,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,333,415,m5,
GlycHyp1_03.CDF,Glucose,"1,1,0,0,0,0",48,3,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,334,127,m6,
GlycHyp2_01.CDF,Glucose,"1,1,0,0,0,0",48,1,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,327,343,,
GlycHyp2_01.CDF,Glucose,"1,1,0,0,0,0",48,1,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,328,344744,m0,
GlycHyp2_01.CDF,Glucose,"1,1,0,0,0,0",48,1,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,329,56804,m1,
GlycHyp2_01.CDF,Glucose,"1,1,0,0,0,0",48,1,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,330,225029,m2,
GlycHyp2_01.CDF,Glucose,"1,1,0,0,0,0",48,1,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,331,31044,m3,
GlycHyp2_01.CDF,Glucose,"1,1,0,0,0,0",48,1,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,332,8607,m4,
GlycHyp2_01.CDF,Glucose,"1,1,0,0,0,0",48,1,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,333,1061,m5,
GlycHyp2_01.CDF,Glucose,"1,1,0,0,0,0",48,1,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,334,127,m6,
GlycHyp2_02.CDF,Glucose,"1,1,0,0,0,0",48,2,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,327,518,,
GlycHyp2_02.CDF,Glucose,"1,1,0,0,0,0",48,2,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,328,696990,m0,
GlycHyp2_02.CDF,Glucose,"1,1,0,0,0,0",48,2,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,329,113632,m1,
GlycHyp2_02.CDF,Glucose,"1,1,0,0,0,0",48,2,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,330,454676,m2,
GlycHyp2_02.CDF,Glucose,"1,1,0,0,0,0",48,2,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,331,62357,m3,
GlycHyp2_02.CDF,Glucose,"1,1,0,0,0,0",48,2,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,332,17265,m4,
GlycHyp2_02.CDF,Glucose,"1,1,0,0,0,0",48,2,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,333,2134,m5,
GlycHyp2_02.CDF,Glucose,"1,1,0,0,0,0",48,2,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,334,127,m6,
GlycHyp2_03.CDF,Glucose,"1,1,0,0,0,0",48,3,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,327,524,,
GlycHyp2_03.CDF,Glucose,"1,1,0,0,0,0",48,3,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,328,485257,m0,
GlycHyp2_03.CDF,Glucose,"1,1,0,0,0,0",48,3,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,329,79651,m1,
GlycHyp2_03.CDF,Glucose,"1,1,0,0,0,0",48,3,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,330,317297,m2,
GlycHyp2_03.CDF,Glucose,"1,1,0,0,0,0",48,3,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,331,43632,m3,
GlycHyp2_03.CDF,Glucose,"1,1,0,0,0,0",48,3,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,332,12222,m4,
GlycHyp2_03.CDF,Glucose,"1,1,0,0,0,0",48,3,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,333,1487,m5,
GlycHyp2_03.CDF,Glucose,"1,1,0,0,0,0",48,3,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,334,127,m6,
GlycHyp3_01.CDF,Glucose,"1,1,0,0,0,0",48,1,3,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,327,534,,
GlycHyp3_01.CDF,Glucose,"1,1,0,0,0,0",48,1,3,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,328,534317,m0,
GlycHyp3_01.CDF,Glucose,"1,1,0,0,0,0",48,1,3,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,329,88267,m1,
GlycHyp3_01.CDF,Glucose,"1,1,0,0,0,0",48,1,3,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,330,335891,m2,
GlycHyp3_01.CDF,Glucose,"1,1,0,0,0,0",48,1,3,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,331,46611,m3,
GlycHyp3_01.CDF,Glucose,"1,1,0,0,0,0",48,1,3,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,332,14213,m4,
GlycHyp3_01.CDF,Glucose,"1,1,0,0,0,0",48,1,3,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,333,1814,m5,
GlycHyp3_01.CDF,Glucose,"1,1,0,0,0,0",48,1,3,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,334,127,m6,
GlycHyp3_02.CDF,Glucose,"1,1,0,0,0,0",48,2,3,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,327,300,,
GlycHyp3_02.CDF,Glucose,"1,1,0,0,0,0",48,2,3,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,328,263068,m0,
GlycHyp3_02.CDF,Glucose,"1,1,0,0,0,0",48,2,3,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,329,43906,m1,
GlycHyp3_02.CDF,Glucose,"1,1,0,0,0,0",48,2,3,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,330,175980,m2,
GlycHyp3_02.CDF,Glucose,"1,1,0,0,0,0",48,2,3,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,331,24651,m3,
GlycHyp3_02.CDF,Glucose,"1,1,0,0,0,0",48,2,3,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,332,8247,m4,
GlycHyp3_02.CDF,Glucose,"1,1,0,0,0,0",48,2,3,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,333,1075,m5,
GlycHyp3_02.CDF,Glucose,"1,1,0,0,0,0",48,2,3,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,334,127,m6,
GlycHyp3_03.CDF,Glucose,"1,1,0,0,0,0",48,3,3,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,327,111,,
GlycHyp3_03.CDF,Glucose,"1,1,0,0,0,0",48,3,3,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,328,42596,m0,
GlycHyp3_03.CDF,Glucose,"1,1,0,0,0,0",48,3,3,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,329,7167,m1,
GlycHyp3_03.CDF,Glucose,"1,1,0,0,0,0",48,3,3,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,330,29065,m2,
GlycHyp3_03.CDF,Glucose,"1,1,0,0,0,0",48,3,3,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,331,4032,m3,
GlycHyp3_03.CDF,Glucose,"1,1,0,0,0,0",48,3,3,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,332,1204,m4,
GlycHyp3_03.CDF,Glucose,"1,1,0,0,0,0",48,3,3,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,333,174,m5,
GlycHyp3_03.CDF,Glucose,"1,1,0,0,0,0",48,3,3,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,334,127,m6,
GlycCom1_01.CDF,,commercial,,1,1,,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,328,672910,m0,
GlycCom1_01.CDF,,commercial,,1,1,,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,329,113154,m1,
GlycCom1_01.CDF,,commercial,,1,1,,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,330,20991,m2,
GlycCom1_01.CDF,,commercial,,1,1,,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,331,1487,m3,
GlycCom1_01.CDF,,commercial,,1,1,,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,332,309,m4,
GlycCom1_01.CDF,,commercial,,1,1,,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,333,37,m5,
GlycCom1_01.CDF,,commercial,,1,1,,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,333,7,m6,
GlycCom1_02.CDF,,commercial,,2,1,,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,327,1630,,
